city,state,country,address,phone number,email,full-time courses,part-time courses
San Francisco,California,USA,"225 Bush Street, 5th Floor (East Entrance)San Francisco, CA 94104",+1 (415) 592-6885,sf@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Seattle,Washington,USA,"1218 Third Avenue, 3rd FloorSeattle, WA 98101",+1 (206) 258-7033,seattle@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
St Louis,Missouri,USA,N/A,+1 (917) 722-0237,stlouis@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Tampa,Florida,USA,N/A,+1 (917) 722-0237,tampa@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Washington DC,District of Columbia,USA,"509 7th Street NW, 3rd FloorWashington, D.C. 20004",+1 (202) 517-1777,dc@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Toronto,N/A,Canada,Online Live (Current) via Zoom,+1 (647) 696-1039,toronto@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Edinburgh,N/A,United Kingdom,OnlineOnline,+442033089506,edinburgh@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
London,N/A,United Kingdom,Online ClassLivestream,+44 2033089506,london@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Manchester,N/A,United Kingdom,OnlineOnline,+442033089506,manchester@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Paris,N/A,France,"3 rue de RossiniParis, 75009",+33 1 88 24 42 51,paris@ga.co,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'Data Analytics', 'Data Science', 'User Experience Design', 'Digital Marketing']"
Tanjong Pagar,N/A,Singapore,"Level 20. 79 Anson RoadSingapore, 079906",+65 31589593,singapore@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive', 'Digital Marketing Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'Data Analytics', 'Data Science', 'User Experience Design', 'Digital Marketing']"
Adelaide,N/A,Australia,N/A,+612 8318 2912,adelaide@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Brisbane,N/A,Australia,N/A,+612 8318 2912,brisbane@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Melbourne,N/A,Australia,"12A, 45 William StreetMelbourne, Australia 3000",+61 (03) 8592 7303,melbourne@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Sydney,N/A,Australia,"1 Market Street, Podium Building (entry via Kent Street, to the red-brick building, next to My Lua)Sydney, NSW 2000",+612 8318 2912,sydney@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
